elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
1,3e42fdfd9872,3e42fdfd9872,1,4,0,1,1,0,1,0,1,20beb3a5795303293b159b9eafa1ba19
1,c511bb7c0632,c511bb7c0632,1,4,0,1,1,0,1,1,1,3035eecfa584de4758e1742d8e56fadb
1,33b44baa950d,33b44baa950d,1,4,0,1,1,0,1,2,1,6011661e42a16e0bdf86a8d29f1307b2
1,f5d6495eab40,f5d6495eab40,1,4,0,1,1,0,1,3,1,d76f18e94748b3ce94aae69cf55115a7
3,3e42fdfd9872,3e42fdfd9872,1,4,1,5,4,0,4,0,2,4222c104b5396a6534a92fb00d4e8a41
3,c511bb7c0632,c511bb7c0632,1,4,4,8,4,0,4,1,2,e46745e3675f5ff46904b67060bae6ac
3,33b44baa950d,33b44baa950d,1,4,4,8,4,0,4,2,2,e46745e3675f5ff46904b67060bae6ac
3,f5d6495eab40,f5d6495eab40,1,4,4,8,4,0,4,3,2,e46745e3675f5ff46904b67060bae6ac
4,3e42fdfd9872,3e42fdfd9872,1,4,4,10,6,0,4,0,3,52d2c434cdaa1a23fcba75dbdcab4b15
4,c511bb7c0632,c511bb7c0632,1,4,8,12,4,0,4,1,3,227af7e0509b6f1929f5865e8df209ed
4,33b44baa950d,33b44baa950d,1,4,8,12,4,0,4,2,3,227af7e0509b6f1929f5865e8df209ed
4,f5d6495eab40,f5d6495eab40,1,4,8,12,4,0,4,3,3,227af7e0509b6f1929f5865e8df209ed
6,3e42fdfd9872,3e42fdfd9872,1,4,12,16,4,0,4,3,4,4796c658373de53c6e63121632318c74
6,c511bb7c0632,c511bb7c0632,1,4,12,16,4,0,4,3,4,4796c658373de53c6e63121632318c74
6,33b44baa950d,33b44baa950d,1,4,12,16,4,0,4,3,4,4796c658373de53c6e63121632318c74
6,f5d6495eab40,f5d6495eab40,1,4,12,16,4,0,4,3,4,4796c658373de53c6e63121632318c74
7,3e42fdfd9872,3e42fdfd9872,1,4,16,20,4,0,4,3,5,1a5c5762cc20944c79284d07d3961c7b
7,c511bb7c0632,c511bb7c0632,1,4,16,20,4,0,4,3,5,1a5c5762cc20944c79284d07d3961c7b
7,33b44baa950d,33b44baa950d,1,4,16,20,4,0,4,3,5,1a5c5762cc20944c79284d07d3961c7b
7,f5d6495eab40,f5d6495eab40,1,4,16,20,4,0,4,3,5,1a5c5762cc20944c79284d07d3961c7b
8,3e42fdfd9872,3e42fdfd9872,1,4,20,24,4,0,4,3,6,6f7d80683b4c383e69bd6a2f85c120de
8,c511bb7c0632,c511bb7c0632,1,4,20,24,4,0,4,3,6,6f7d80683b4c383e69bd6a2f85c120de
8,33b44baa950d,33b44baa950d,1,4,20,24,4,0,4,3,6,6f7d80683b4c383e69bd6a2f85c120de
8,f5d6495eab40,f5d6495eab40,1,4,20,24,4,0,4,3,6,6f7d80683b4c383e69bd6a2f85c120de
9,3e42fdfd9872,3e42fdfd9872,1,4,24,28,4,0,4,3,7,c0b9b07f207e05dfffe3bb6aeecf6193
9,c511bb7c0632,c511bb7c0632,1,4,24,28,4,0,4,3,7,c0b9b07f207e05dfffe3bb6aeecf6193
9,33b44baa950d,33b44baa950d,1,4,24,28,4,0,4,3,7,c0b9b07f207e05dfffe3bb6aeecf6193
9,f5d6495eab40,f5d6495eab40,1,4,24,28,4,0,4,3,7,c0b9b07f207e05dfffe3bb6aeecf6193
10,3e42fdfd9872,3e42fdfd9872,1,4,28,32,4,0,4,3,8,99ebf9b2193818a0f2fd2708f5e8e924
10,c511bb7c0632,c511bb7c0632,1,4,28,32,4,0,4,3,8,99ebf9b2193818a0f2fd2708f5e8e924
10,33b44baa950d,33b44baa950d,1,4,28,32,4,0,4,3,8,99ebf9b2193818a0f2fd2708f5e8e924
10,f5d6495eab40,f5d6495eab40,1,4,28,32,4,0,4,3,8,99ebf9b2193818a0f2fd2708f5e8e924
11,3e42fdfd9872,3e42fdfd9872,1,4,32,36,4,0,4,3,9,5208661dd1d990e0aca65582d6c10e3f
11,c511bb7c0632,c511bb7c0632,1,4,32,36,4,0,4,3,9,5208661dd1d990e0aca65582d6c10e3f
11,33b44baa950d,33b44baa950d,1,4,32,36,4,0,4,3,9,5208661dd1d990e0aca65582d6c10e3f
11,f5d6495eab40,f5d6495eab40,1,4,32,36,4,0,4,3,9,5208661dd1d990e0aca65582d6c10e3f
13,3e42fdfd9872,3e42fdfd9872,1,4,36,40,4,0,4,3,10,e342a80f6388ca8f0d1f565a689a945f
