elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
0,779777a69aa2,779777a69aa2,1,1,0,0,0,0,1,0,0,c5f0badbea3b1c74fff0252069ffca9e
3,779777a69aa2,779777a69aa2,1,4,0,3,3,0,4,0,2,13f6b749bb16c6b7cccb18e7f4adc0bb
3,b65ee3528dfd,b65ee3528dfd,1,4,1,5,4,0,4,1,1,aba938f3ba3d13e7f217e129df362016
3,ff57919fded3,ff57919fded3,1,4,1,5,4,0,4,2,1,aba938f3ba3d13e7f217e129df362016
3,413641414fef,413641414fef,1,4,1,5,4,0,4,3,1,aba938f3ba3d13e7f217e129df362016
4,779777a69aa2,779777a69aa2,1,4,5,9,4,0,4,0,3,e352e7c28207c242ccf1ff843286ec61
4,b65ee3528dfd,b65ee3528dfd,1,4,5,9,4,0,4,1,2,e352e7c28207c242ccf1ff843286ec61
4,ff57919fded3,ff57919fded3,1,4,5,9,4,0,4,2,2,e352e7c28207c242ccf1ff843286ec61
4,413641414fef,413641414fef,1,4,5,9,4,0,4,3,2,e352e7c28207c242ccf1ff843286ec61
5,779777a69aa2,779777a69aa2,1,4,9,13,4,0,4,3,4,9231a95bf136dd24b1a5927129d921b4
5,b65ee3528dfd,b65ee3528dfd,1,4,9,13,4,0,4,3,3,9231a95bf136dd24b1a5927129d921b4
5,ff57919fded3,ff57919fded3,1,4,9,13,4,0,4,3,3,9231a95bf136dd24b1a5927129d921b4
5,413641414fef,413641414fef,1,4,9,13,4,0,4,3,3,9231a95bf136dd24b1a5927129d921b4
6,779777a69aa2,779777a69aa2,1,4,13,17,4,0,4,3,5,f880473be1b27f9b85e8fa0be5800b5d
6,b65ee3528dfd,b65ee3528dfd,1,4,13,17,4,0,4,3,4,f880473be1b27f9b85e8fa0be5800b5d
6,ff57919fded3,ff57919fded3,1,4,13,17,4,0,4,3,4,f880473be1b27f9b85e8fa0be5800b5d
6,413641414fef,413641414fef,1,4,13,17,4,0,4,3,4,f880473be1b27f9b85e8fa0be5800b5d
8,779777a69aa2,779777a69aa2,1,4,17,21,4,0,4,3,6,d4875d74c6b710cfba58e45a0a6fa66c
8,b65ee3528dfd,b65ee3528dfd,1,4,17,21,4,0,4,3,5,d4875d74c6b710cfba58e45a0a6fa66c
8,ff57919fded3,ff57919fded3,1,4,17,21,4,0,4,3,5,d4875d74c6b710cfba58e45a0a6fa66c
8,413641414fef,413641414fef,1,4,17,21,4,0,4,3,5,d4875d74c6b710cfba58e45a0a6fa66c
9,779777a69aa2,779777a69aa2,1,4,21,25,4,0,4,3,7,6ec8af1ff8aa0bbabb141b680a979d4f
9,b65ee3528dfd,b65ee3528dfd,1,4,21,25,4,0,4,3,6,6ec8af1ff8aa0bbabb141b680a979d4f
9,ff57919fded3,ff57919fded3,1,4,21,25,4,0,4,3,6,6ec8af1ff8aa0bbabb141b680a979d4f
9,413641414fef,413641414fef,1,4,21,25,4,0,4,3,6,6ec8af1ff8aa0bbabb141b680a979d4f
10,779777a69aa2,779777a69aa2,1,4,25,29,4,0,4,3,8,7aa3e8ef87b9aec435df676862769b15
10,b65ee3528dfd,b65ee3528dfd,1,4,25,29,4,0,4,3,7,7aa3e8ef87b9aec435df676862769b15
10,ff57919fded3,ff57919fded3,1,4,25,29,4,0,4,3,7,7aa3e8ef87b9aec435df676862769b15
10,413641414fef,413641414fef,1,4,25,29,4,0,4,3,7,7aa3e8ef87b9aec435df676862769b15
11,779777a69aa2,779777a69aa2,1,4,29,33,4,0,4,3,9,be8e27658ea5cb07217a5c02555751bc
11,b65ee3528dfd,b65ee3528dfd,1,4,29,33,4,0,4,3,8,be8e27658ea5cb07217a5c02555751bc
11,ff57919fded3,ff57919fded3,1,4,29,33,4,0,4,3,8,be8e27658ea5cb07217a5c02555751bc
11,413641414fef,413641414fef,1,4,29,33,4,0,4,3,8,be8e27658ea5cb07217a5c02555751bc
12,779777a69aa2,779777a69aa2,1,4,33,37,4,0,4,3,10,c11f48f313c8d0dda33a40fd1e4df216
12,b65ee3528dfd,b65ee3528dfd,1,4,33,37,4,0,4,3,9,c11f48f313c8d0dda33a40fd1e4df216
12,ff57919fded3,ff57919fded3,1,4,33,37,4,0,4,3,9,d2356ce9b37442a2ab2a7606be206228
12,413641414fef,413641414fef,1,4,37,41,4,0,4,3,10,cd4c0f730fdefcc471b0f71a74a265df
14,779777a69aa2,779777a69aa2,1,4,39,44,5,0,4,3,12,5b6fc93a7b8042f7e473c663d0316675
14,b65ee3528dfd,b65ee3528dfd,1,4,41,45,4,0,4,3,11,5b6fc93a7b8042f7e473c663d0316675
14,ff57919fded3,ff57919fded3,1,4,41,45,4,0,4,3,11,5b6fc93a7b8042f7e473c663d0316675
14,413641414fef,413641414fef,1,4,41,45,4,0,4,3,11,5b6fc93a7b8042f7e473c663d0316675
15,779777a69aa2,779777a69aa2,1,4,45,49,4,0,4,3,13,da7f1031865decbb79d611293e3f0aad
15,b65ee3528dfd,b65ee3528dfd,1,4,45,49,4,0,4,3,12,da7f1031865decbb79d611293e3f0aad
15,ff57919fded3,ff57919fded3,1,4,45,49,4,0,4,3,12,da7f1031865decbb79d611293e3f0aad
15,413641414fef,413641414fef,1,4,45,49,4,0,4,3,12,da7f1031865decbb79d611293e3f0aad
16,779777a69aa2,779777a69aa2,1,4,49,53,4,0,4,3,14,e880ccac6f2a0ebb3b60cb9dc5abd5c4
16,b65ee3528dfd,b65ee3528dfd,1,4,49,53,4,0,4,3,13,e880ccac6f2a0ebb3b60cb9dc5abd5c4
16,ff57919fded3,ff57919fded3,1,4,49,53,4,0,4,3,13,e880ccac6f2a0ebb3b60cb9dc5abd5c4
16,413641414fef,413641414fef,1,4,49,53,4,0,4,3,13,e880ccac6f2a0ebb3b60cb9dc5abd5c4
17,779777a69aa2,779777a69aa2,1,4,53,57,4,0,4,3,15,322fec3752ee2b0aad6fb08bf744568c
17,b65ee3528dfd,b65ee3528dfd,1,4,53,57,4,0,4,3,14,322fec3752ee2b0aad6fb08bf744568c
17,ff57919fded3,ff57919fded3,1,4,53,57,4,0,4,3,14,322fec3752ee2b0aad6fb08bf744568c
17,413641414fef,413641414fef,1,4,53,57,4,0,4,3,14,322fec3752ee2b0aad6fb08bf744568c
18,779777a69aa2,779777a69aa2,1,4,57,61,4,0,4,3,16,5bff50700d72759d7bd2643698eee282
18,b65ee3528dfd,b65ee3528dfd,1,4,57,61,4,0,4,3,15,5bff50700d72759d7bd2643698eee282
18,ff57919fded3,ff57919fded3,1,4,57,61,4,0,4,3,15,5bff50700d72759d7bd2643698eee282
18,413641414fef,413641414fef,1,4,57,61,4,0,4,3,15,5bff50700d72759d7bd2643698eee282
20,779777a69aa2,779777a69aa2,1,4,61,65,4,0,4,3,17,aec76c0689cd28136cedd336427064be
20,b65ee3528dfd,b65ee3528dfd,1,4,61,65,4,0,4,3,16,aec76c0689cd28136cedd336427064be
20,ff57919fded3,ff57919fded3,1,4,61,65,4,0,4,3,16,aec76c0689cd28136cedd336427064be
20,413641414fef,413641414fef,1,4,61,65,4,0,4,3,16,aec76c0689cd28136cedd336427064be
21,779777a69aa2,779777a69aa2,1,4,65,69,4,0,4,3,18,0d79e5bb2ce6f21f5b2e2543249fbddf
21,b65ee3528dfd,b65ee3528dfd,1,4,65,69,4,0,4,3,17,0d79e5bb2ce6f21f5b2e2543249fbddf
21,ff57919fded3,ff57919fded3,1,4,65,69,4,0,4,3,17,0d79e5bb2ce6f21f5b2e2543249fbddf
21,413641414fef,413641414fef,1,4,65,69,4,0,4,3,17,0d79e5bb2ce6f21f5b2e2543249fbddf
22,779777a69aa2,779777a69aa2,1,4,69,73,4,0,4,3,19,47492baa0f55ceeac23c090988afa3e1
22,b65ee3528dfd,b65ee3528dfd,1,4,69,73,4,0,4,3,18,47492baa0f55ceeac23c090988afa3e1
22,ff57919fded3,ff57919fded3,1,4,69,73,4,0,4,3,18,47492baa0f55ceeac23c090988afa3e1
22,413641414fef,413641414fef,1,4,69,73,4,0,4,3,18,f119108f37e8affc89f94fed1de4036f
23,779777a69aa2,779777a69aa2,1,4,73,79,6,0,4,3,21,315f19c0a3339187a60e4352888acff5
23,b65ee3528dfd,b65ee3528dfd,1,4,77,81,4,0,4,3,20,7a2b736a277e4b53d5caab89d4289cb9
23,ff57919fded3,ff57919fded3,1,4,77,81,4,0,4,3,20,7a2b736a277e4b53d5caab89d4289cb9
23,413641414fef,413641414fef,1,4,77,81,4,0,4,3,20,7a2b736a277e4b53d5caab89d4289cb9
24,779777a69aa2,779777a69aa2,1,4,81,85,4,0,4,3,22,c2eb4190b10e8ec7c2a181bee05fbf1c
24,b65ee3528dfd,b65ee3528dfd,1,4,81,85,4,0,4,3,21,c2eb4190b10e8ec7c2a181bee05fbf1c
24,ff57919fded3,ff57919fded3,1,4,81,85,4,0,4,3,21,c2eb4190b10e8ec7c2a181bee05fbf1c
24,413641414fef,413641414fef,1,4,81,85,4,0,4,3,21,c2eb4190b10e8ec7c2a181bee05fbf1c
25,779777a69aa2,779777a69aa2,1,4,85,89,4,0,4,3,23,c5642e57f173a131c724934dd34a1c80
25,b65ee3528dfd,b65ee3528dfd,1,4,85,89,4,0,4,3,22,c5642e57f173a131c724934dd34a1c80
25,ff57919fded3,ff57919fded3,1,4,85,89,4,0,4,3,22,c5642e57f173a131c724934dd34a1c80
25,413641414fef,413641414fef,1,4,85,89,4,0,4,3,22,c5642e57f173a131c724934dd34a1c80
27,779777a69aa2,779777a69aa2,1,4,89,93,4,0,4,3,24,fe5a602601542e6b85f56afa74ad1a1e
27,b65ee3528dfd,b65ee3528dfd,1,4,89,93,4,0,4,3,23,fe5a602601542e6b85f56afa74ad1a1e
27,ff57919fded3,ff57919fded3,1,4,89,93,4,0,4,3,23,fe5a602601542e6b85f56afa74ad1a1e
27,413641414fef,413641414fef,1,4,89,93,4,0,4,3,23,fe5a602601542e6b85f56afa74ad1a1e
28,779777a69aa2,779777a69aa2,1,4,93,97,4,0,4,3,25,e6da4c2ce861c540ec604b2874fffc69
28,b65ee3528dfd,b65ee3528dfd,1,4,93,97,4,0,4,3,24,e6da4c2ce861c540ec604b2874fffc69
28,ff57919fded3,ff57919fded3,1,4,93,97,4,0,4,3,24,e6da4c2ce861c540ec604b2874fffc69
28,413641414fef,413641414fef,1,4,93,97,4,0,4,3,24,e6da4c2ce861c540ec604b2874fffc69
29,779777a69aa2,779777a69aa2,1,4,97,101,4,0,4,3,26,053a7eb165c9ca2c2697a01ec1bbfcce
29,b65ee3528dfd,b65ee3528dfd,1,4,97,101,4,0,4,3,25,053a7eb165c9ca2c2697a01ec1bbfcce
29,ff57919fded3,ff57919fded3,1,4,97,101,4,0,4,3,25,053a7eb165c9ca2c2697a01ec1bbfcce
29,413641414fef,413641414fef,1,4,97,101,4,0,4,3,25,053a7eb165c9ca2c2697a01ec1bbfcce
30,779777a69aa2,779777a69aa2,1,4,101,105,4,0,4,3,27,85e88b23c04657a006c1e34a022fb7f4
30,b65ee3528dfd,b65ee3528dfd,1,4,101,105,4,0,4,3,26,85e88b23c04657a006c1e34a022fb7f4
30,ff57919fded3,ff57919fded3,1,4,101,105,4,0,4,3,26,85e88b23c04657a006c1e34a022fb7f4
30,413641414fef,413641414fef,1,4,101,105,4,0,4,3,26,85e88b23c04657a006c1e34a022fb7f4
31,779777a69aa2,779777a69aa2,1,4,105,109,4,0,4,3,28,710d3e01650156635eb3ffcd31006a4f
31,b65ee3528dfd,b65ee3528dfd,1,4,105,109,4,0,4,3,27,710d3e01650156635eb3ffcd31006a4f
31,ff57919fded3,ff57919fded3,1,4,105,109,4,0,4,3,27,710d3e01650156635eb3ffcd31006a4f
31,413641414fef,413641414fef,1,4,105,109,4,0,4,3,27,710d3e01650156635eb3ffcd31006a4f
33,779777a69aa2,779777a69aa2,1,4,109,113,4,0,4,3,29,6c7bd0d9e1de2f96f9100b294c94bbb7
33,b65ee3528dfd,b65ee3528dfd,1,4,109,113,4,0,4,3,28,6c7bd0d9e1de2f96f9100b294c94bbb7
33,ff57919fded3,ff57919fded3,1,4,109,113,4,0,4,3,28,6c7bd0d9e1de2f96f9100b294c94bbb7
33,413641414fef,413641414fef,1,4,109,113,4,0,4,3,28,c86060a5974cdf9879e215dac381cc87
34,779777a69aa2,779777a69aa2,1,4,113,118,5,0,4,3,31,fb8a69c2b549050153d83aeb97a01a41
34,b65ee3528dfd,b65ee3528dfd,1,4,117,121,4,0,4,3,30,53530180cc6e8c20968bd35b4eb3c773
34,ff57919fded3,ff57919fded3,1,4,117,121,4,0,4,3,30,53530180cc6e8c20968bd35b4eb3c773
34,413641414fef,413641414fef,1,4,117,121,4,0,4,3,30,53530180cc6e8c20968bd35b4eb3c773
35,779777a69aa2,779777a69aa2,1,4,121,125,4,0,4,3,32,d9c3cb940c51d11c9e324636c2e945ad
35,b65ee3528dfd,b65ee3528dfd,1,4,121,125,4,0,4,3,31,d9c3cb940c51d11c9e324636c2e945ad
35,ff57919fded3,ff57919fded3,1,4,121,125,4,0,4,3,31,d9c3cb940c51d11c9e324636c2e945ad
35,413641414fef,413641414fef,1,4,121,125,4,0,4,3,31,d9c3cb940c51d11c9e324636c2e945ad
36,779777a69aa2,779777a69aa2,1,4,125,129,4,0,4,3,33,c923edf4c0726071596ec1b082b60759
36,b65ee3528dfd,b65ee3528dfd,1,4,125,129,4,0,4,3,32,c923edf4c0726071596ec1b082b60759
36,ff57919fded3,ff57919fded3,1,4,125,129,4,0,4,3,32,c923edf4c0726071596ec1b082b60759
36,413641414fef,413641414fef,1,4,125,129,4,0,4,3,32,c923edf4c0726071596ec1b082b60759
37,779777a69aa2,779777a69aa2,1,4,129,133,4,0,4,3,34,fb7d2487393f2a907f37d16244434477
37,b65ee3528dfd,b65ee3528dfd,1,4,129,133,4,0,4,3,33,fb7d2487393f2a907f37d16244434477
37,ff57919fded3,ff57919fded3,1,4,129,133,4,0,4,3,33,fb7d2487393f2a907f37d16244434477
37,413641414fef,413641414fef,1,4,129,133,4,0,4,3,33,fb7d2487393f2a907f37d16244434477
39,779777a69aa2,779777a69aa2,1,4,133,137,4,0,4,3,35,95f4be1ee65af71fdc2a7c4a1cfb2628
39,b65ee3528dfd,b65ee3528dfd,1,4,133,137,4,0,4,3,34,95f4be1ee65af71fdc2a7c4a1cfb2628
39,ff57919fded3,ff57919fded3,1,4,133,137,4,0,4,3,34,95f4be1ee65af71fdc2a7c4a1cfb2628
39,413641414fef,413641414fef,1,4,133,137,4,0,4,3,34,95f4be1ee65af71fdc2a7c4a1cfb2628
40,779777a69aa2,779777a69aa2,1,4,137,141,4,0,4,3,36,213cb2bf4ed416423a8bcc0b1e5e37da
40,b65ee3528dfd,b65ee3528dfd,1,4,137,141,4,0,4,3,35,213cb2bf4ed416423a8bcc0b1e5e37da
40,ff57919fded3,ff57919fded3,1,4,137,141,4,0,4,3,35,213cb2bf4ed416423a8bcc0b1e5e37da
40,413641414fef,413641414fef,1,4,137,141,4,0,4,3,35,213cb2bf4ed416423a8bcc0b1e5e37da
41,779777a69aa2,779777a69aa2,1,4,141,145,4,0,4,3,37,55d4c581d32ea9d00968288d439afc89
41,b65ee3528dfd,b65ee3528dfd,1,4,141,145,4,0,4,3,36,55d4c581d32ea9d00968288d439afc89
41,ff57919fded3,ff57919fded3,1,4,141,145,4,0,4,3,36,55d4c581d32ea9d00968288d439afc89
41,413641414fef,413641414fef,1,4,141,145,4,0,4,3,36,55d4c581d32ea9d00968288d439afc89
42,779777a69aa2,779777a69aa2,1,4,145,149,4,0,4,3,38,92b57c8eb93404f8edfda05f70ecca07
42,b65ee3528dfd,b65ee3528dfd,1,4,145,149,4,0,4,3,37,92b57c8eb93404f8edfda05f70ecca07
42,ff57919fded3,ff57919fded3,1,4,145,149,4,0,4,3,37,92b57c8eb93404f8edfda05f70ecca07
42,413641414fef,413641414fef,1,4,145,149,4,0,4,3,37,92b57c8eb93404f8edfda05f70ecca07
