n_logs,container,replica_id,hosted_logs,frames_not_hosted,vm_rss_bytes,docker_mem_bytes
1,moirai-editor-a-1,editor-a,2,0,13172736,6025117
1,moirai-editor-b-1,editor-b,2,131,13467648,5296357
1,moirai-islander-1,islander,1,131,11497472,3919577
1,moirai-node-1,055261dbbf0d,2,131,13479936,5591007
1,moirai-node-2,79b71d868481,2,129,14020608,6667894
1,moirai-node-3,2fda9d3a0e87,2,131,13488128,5378146
4,moirai-editor-a-1,editor-a,5,0,14004224,6340739
4,moirai-editor-b-1,editor-b,5,494,14602240,7548698
4,moirai-islander-1,islander,1,500,11423744,3731881
4,moirai-node-1,c200ddfcacf1,5,500,15945728,8113881
4,moirai-node-2,4f1bfce78c40,5,496,15736832,7978614
4,moirai-node-3,435dda3d54c0,5,500,14581760,6226444
16,moirai-editor-a-1,editor-a,17,0,16203776,9797894
16,moirai-editor-b-1,editor-b,17,1994,16900096,9609150
16,moirai-islander-1,islander,1,2000,11591680,3330277
16,moirai-node-1,43626c88f06d,17,2013,18354176,10705960
16,moirai-node-2,f9a0df2e632c,17,1993,17772544,9772728
16,moirai-node-3,1c527def26b9,17,1994,17719296,10281287
64,moirai-editor-a-1,editor-a,65,0,23433216,15508439
64,moirai-editor-b-1,editor-b,65,7995,28549120,20248002
64,moirai-islander-1,islander,1,8000,11354112,3543138
64,moirai-node-1,1c3fddbfc757,65,7957,27770880,21789409
64,moirai-node-2,c6952bb87215,65,8047,30158848,22418554
64,moirai-node-3,17dbd0c32495,65,7982,30658560,23477616
