run,arm,seed,replica_id,log_id,last_write_ms,converged_ms,convergence_ms
1,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,426.3,454.1,27.8
1,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,426.3,456.2,29.9
1,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,426.3,456.7,30.4
1,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,426.3,457.4,31.1
1,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,426.3,457.8,31.6
2,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,1078.2,1114.1,35.9
2,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,1078.2,1117.3,39.1
2,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,1078.2,1116.4,38.2
2,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,1078.2,1118.4,40.2
2,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,1078.2,1118.1,39.9
3,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,1753.3,1777.7,24.4
3,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,1753.3,1779.6,26.3
3,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,1753.3,1778.7,25.4
3,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,1753.3,1780.7,27.4
3,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,1753.3,1780.1,26.8
4,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,2415.2,2441.3,26.1
4,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,2415.2,2433.6,18.4
4,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,2415.2,2441.1,25.9
4,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,2415.2,2434.2,19.0
4,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,2415.2,2434.0,18.8
5,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,3076.8,3102.7,25.9
5,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,3076.8,3103.0,26.2
5,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,3076.8,3099.6,22.8
5,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,3076.8,3101.6,24.9
5,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,3076.8,3103.2,26.5
6,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,3721.8,3751.5,29.7
6,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,3721.8,3752.4,30.6
6,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,3721.8,3749.2,27.4
6,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,3721.8,3751.8,30.0
6,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,3721.8,3752.1,30.3
7,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,4376.4,4400.6,24.1
7,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,4376.4,4393.4,16.9
7,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,4376.4,4401.0,24.6
7,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,4376.4,4393.1,16.7
7,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,4376.4,4393.5,17.0
8,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,5037.5,5061.9,24.4
8,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,5037.5,5059.7,22.2
8,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,5037.5,5060.6,23.1
8,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,5037.5,5059.6,22.1
8,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,5037.5,5060.9,23.4
9,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,5694.4,5735.7,41.3
9,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,5694.4,5734.2,39.9
9,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,5694.4,5743.5,49.2
9,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,5694.4,5735.2,40.8
9,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,5694.4,5744.1,49.7
10,alone,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,6369.1,6401.0,31.9
10,alone,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,6369.1,6406.7,37.6
10,alone,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,6369.1,6409.5,40.4
10,alone,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,6369.1,6406.6,37.5
10,alone,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,6369.1,6408.6,39.5
1,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,13038.8,13070.9,32.1
1,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,13038.8,13073.7,34.9
1,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,13038.8,13069.2,30.4
1,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,13038.8,13072.2,33.4
1,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,13038.8,13070.0,31.2
2,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,13701.7,13726.8,25.1
2,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,13701.7,13728.2,26.5
2,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,13701.7,13723.0,21.4
2,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,13701.7,13727.1,25.4
2,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,13701.7,13722.8,21.1
3,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,14375.2,14400.7,25.4
3,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,14375.2,14397.2,22.0
3,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,14375.2,14402.0,26.7
3,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,14375.2,14396.4,21.1
3,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,14375.2,14402.1,26.9
4,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,15035.1,15063.3,28.2
4,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,15035.1,15062.1,27.0
4,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,15035.1,15057.6,22.5
4,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,15035.1,15063.6,28.5
4,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,15035.1,15058.7,23.6
5,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,15702.6,15734.0,31.4
5,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,15702.6,15734.6,32.0
5,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,15702.6,15733.6,31.0
5,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,15702.6,15735.0,32.4
5,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,15702.6,15733.0,30.3
6,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,16373.7,16410.8,37.0
6,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,16373.7,16410.5,36.7
6,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,16373.7,16412.0,38.3
6,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,16373.7,16412.3,38.6
6,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,16373.7,16411.7,38.0
7,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,17042.6,17070.1,27.5
7,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,17042.6,17066.4,23.8
7,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,17042.6,17063.9,21.3
7,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,17042.6,17064.5,21.9
7,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,17042.6,17066.1,23.5
8,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,17712.0,17738.6,26.6
8,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,17712.0,17733.9,21.9
8,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,17712.0,17730.7,18.8
8,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,17712.0,17730.5,18.5
8,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,17712.0,17734.1,22.1
9,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,18380.9,18419.0,38.0
9,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,18380.9,18421.6,40.7
9,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,18380.9,18417.0,36.0
9,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,18380.9,18416.8,35.9
9,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,18380.9,18421.2,40.3
10,loaded,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,19051.0,19079.3,28.4
10,loaded,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,19051.0,19082.5,31.5
10,loaded,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,19051.0,19073.8,22.8
10,loaded,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,19051.0,19074.2,23.2
10,loaded,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,19051.0,19081.1,30.2
1,loaded-http,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,25756.5,25814.7,58.2
1,loaded-http,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,25756.5,25809.4,52.9
1,loaded-http,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,25756.5,25808.7,52.2
1,loaded-http,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,25756.5,25808.0,51.5
1,loaded-http,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,25756.5,25815.2,58.7
2,loaded-http,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,26448.1,26478.8,30.7
2,loaded-http,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,26448.1,26476.4,28.3
2,loaded-http,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,26448.1,26478.9,30.8
2,loaded-http,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,26448.1,26474.1,26.0
2,loaded-http,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,26448.1,26472.6,24.4
3,loaded-http,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,27143.9,27172.0,28.0
3,loaded-http,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,27143.9,27166.6,22.7
3,loaded-http,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,27143.9,27170.7,26.7
3,loaded-http,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,27143.9,27174.1,30.2
3,loaded-http,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,27143.9,27172.4,28.5
4,loaded-http,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,27805.4,27847.1,41.7
4,loaded-http,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,27805.4,27846.9,41.4
4,loaded-http,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,27805.4,27850.9,45.5
4,loaded-http,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,27805.4,27854.5,49.1
4,loaded-http,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,27805.4,27851.0,45.6
5,loaded-http,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,28498.4,28543.5,45.1
5,loaded-http,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,28498.4,28539.2,40.8
5,loaded-http,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,28498.4,28544.8,46.4
5,loaded-http,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,28498.4,28546.4,48.0
5,loaded-http,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,28498.4,28541.3,42.9
6,loaded-http,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,29214.6,29243.6,28.9
