run,n_logs,log_id,log_ops,response_bytes,transfer_ms,probe_ms,served_bytes_joiner,served_bytes_probe,join_to_state_ms,join_answer_ms,joiner_path,snapshot_members,donor_hosted_logs
1,1,8f4bfd0139b2fdfb0d33d36f79cdc607,500,120576,51.77,56.97,91099,91099,104.9,9.7,adopted,1,2
2,1,8f4bfd0139b2fdfb0d33d36f79cdc607,500,120673,55.29,52.35,98141,98141,137.4,10.7,adopted,2,2
3,1,8f4bfd0139b2fdfb0d33d36f79cdc607,500,120736,61.28,49.28,105183,105183,148.7,10.7,adopted,3,2
4,1,8f4bfd0139b2fdfb0d33d36f79cdc607,500,120785,90.96,54.66,112225,112225,149.5,10.8,adopted,4,2
5,1,8f4bfd0139b2fdfb0d33d36f79cdc607,500,120800,52.3,54.42,119267,119267,138.3,10.7,adopted,5,2
1,16,81fcb39c67b04af308f08f54a69e1ed5,500,120577,59.2,57.43,92105,92105,118.5,10.7,adopted,1,17
2,16,81fcb39c67b04af308f08f54a69e1ed5,500,120687,52.22,54.28,100153,100153,116.5,9.7,adopted,2,17
3,16,81fcb39c67b04af308f08f54a69e1ed5,500,120767,54.75,56.27,108201,108201,139.8,10.7,adopted,3,17
4,16,81fcb39c67b04af308f08f54a69e1ed5,500,120805,56.93,53.88,116249,116249,117.6,10.7,adopted,4,17
5,16,81fcb39c67b04af308f08f54a69e1ed5,500,120909,63.05,55.91,124297,124297,149.5,10.6,adopted,5,17
