moirai-network/src/generic.rs:1050:9: replace GenericNode<L, T>::request_delta_sync with ()
moirai-network/src/generic.rs:1180:9: replace GenericNode<L, T>::adopt_state with ()
moirai-network/src/generic.rs:1193:12: delete ! in GenericNode<L, T>::adopt_state
moirai-network/src/generic.rs:1208:43: replace && with || in GenericNode<L, T>::adopt_state
moirai-network/src/generic.rs:1208:33: replace != with == in GenericNode<L, T>::adopt_state
moirai-network/src/generic.rs:1145:22: replace > with < in GenericNode<L, T>::state_response_for
moirai-network/src/generic.rs:1208:46: delete ! in GenericNode<L, T>::adopt_state
moirai-network/src/generic.rs:1210:13: replace && with || in GenericNode<L, T>::adopt_state
moirai-network/src/generic.rs:1210:16: delete ! in GenericNode<L, T>::adopt_state
moirai-network/src/generic.rs:1324:23: replace += with -= in GenericNode<L, T>::apply_op_to
moirai-network/src/generic.rs:1341:13: delete match arm TransportMessage::Event{event} in GenericNode<L, T>::handle_transport_message
moirai-network/src/generic.rs:1340:9: replace GenericNode<L, T>::handle_transport_message with ()
moirai-network/src/generic.rs:1348:13: delete match arm TransportMessage::Batch{batch} in GenericNode<L, T>::handle_transport_message
