run,crate,file,mutant_class,mutant,killed_by,status,source
20260903T183222Z,model-editor,clients/model-editor/src/model/binding.ts,an apply that skips the digest comparison and renders the tree under simpleuml,digest-comparison-skipped,"binding.test.ts: checkBinding 'a header whose digest differs from the served digest is a mismatch', mp9_apply_refuses_a_descriptor_whose_digest_differs_from_the_header",killed,hand
20260903T183222Z,moirai-network,moirai-network/src/generic.rs,a dispatch that hands a behaviour-tree frame to the UML model,dispatch-swapped-log-id,"generic::tests::mp1_dispatch_hands_a_frame_to_the_log_whose_id_matches, mp14",killed,hand
20260903T183222Z,moirai-network,moirai-network/src/generic.rs,a filter that drops the frame without incrementing frames_not_hosted,filter-not-counted,"generic::tests::mp2_a_frame_for_an_unhosted_log_is_filtered_and_counted, mp4",killed,hand
20260903T183222Z,json-crdt,generated/json_crdt/examples/network_node.rs,an intake guard that lets a local write reach the header,header-check-skipped,model_plane::mp8_a_local_op_on_the_header_is_rejected_after_creation,killed,hand
20260903T183222Z,moirai-protocol,moirai-protocol/src/broadcast/tcsb.rs,a refusal of a foreign-log message that does not increment foreign_log_refusals,refusal-not-counted,"broadcast::tcsb::log_identity::an_event_from_a_foreign_log_is_refused_and_counted, a_batch_from_a_foreign_log_is_refused_whole",killed,hand
20260903T183222Z,json-crdt,generated/json_crdt/examples/network_node.rs,a registration that skips writing __model,registration-skips-header,model_plane::mp7_registration_creates_the_log_and_writes_the_header_once,killed,hand
20260903T183222Z,model-editor,clients/model-editor/src/model/projection.ts,a store write that puts one model's document in another model's file,store-writes-wrong-file,projection.test.ts: mp10_apply_writes_the_store_file_equal_to_the_applied_state,killed,hand
20260903T184423Z,moirai-network,moirai-network/src/generic.rs,cargo mutants: FnValue in HostedLog<L>::has_no_history,moirai-network/src/generic.rs:297: true,cargo test -p moirai-network --lib,killed,cargo-mutants
20260903T184423Z,moirai-network,moirai-network/src/generic.rs,cargo mutants: BinaryOperator in HostedLog<L>::has_no_history,moirai-network/src/generic.rs:297: !=,cargo test -p moirai-network --lib,killed,cargo-mutants
20260903T184423Z,moirai-network,moirai-network/src/generic.rs,cargo mutants: FnValue in HostedLog<L>::holds_nothing,moirai-network/src/generic.rs:314: true,cargo test -p moirai-network --lib,killed,cargo-mutants
20260903T184423Z,moirai-network,moirai-network/src/generic.rs,cargo mutants: FnValue in HostedLog<L>::holds_nothing,moirai-network/src/generic.rs:314: false,cargo test -p moirai-network --lib,killed,cargo-mutants
20260903T184423Z,moirai-network,moirai-network/src/generic.rs,cargo mutants: BinaryOperator in HostedLog<L>::holds_nothing,moirai-network/src/generic.rs:315: ||,,survived,cargo-mutants
20260903T184423Z,moirai-network,moirai-network/src/generic.rs,cargo mutants: BinaryOperator in HostedLog<L>::holds_nothing,moirai-network/src/generic.rs:315: ||,cargo test -p moirai-network --lib,killed,cargo-mutants
20260903T184423Z,moirai-network,moirai-network/src/generic.rs,cargo mutants: BinaryOperator in HostedLog<L>::holds_nothing,moirai-network/src/generic.rs:315: !=,cargo test -p moirai-network --lib,killed,cargo-mutants
