run,n_logs,descriptor,ops,check_p50_ns,check_p99_ns,receive_ms_check_on,receive_ms_check_off,profile,check_mean_ns,serialize_p50_ns,serialize_p99_ns,timer_p50_ns,ratio
1,1,bt,10000,856,2069,95.995,86.371,release,947,602,1388,21,1.1114
1,4,bt,10000,849,2069,84.425,63.017,release,928,597,1410,21,1.3397
1,16,bt,10000,847,2047,84.415,62.367,release,925,598,1407,21,1.3535
1,64,bt,10000,862,2104,85.887,64.258,release,949,595,1387,21,1.3366
1,1,uml,10000,858,1812,86.311,67.577,release,821,647,1410,21,1.2772
1,4,uml,10000,900,1870,75.306,56.809,release,856,662,1496,21,1.3256
1,16,uml,10000,905,1868,73.814,60.214,release,862,658,1451,21,1.2259
1,64,uml,10000,891,1874,75.325,56.943,release,850,667,1463,21,1.3228
1,1,bt,10000,3317,7470,870.677,701.848,debug,3661,2934,5488,20,1.2405
1,4,bt,10000,3511,8030,834.998,627.613,debug,3869,2914,5495,19,1.3304
1,16,bt,10000,3485,8042,840.166,622.667,debug,3845,2933,5524,20,1.3493
1,64,bt,10000,3605,8551,795.408,622.000,debug,3970,2933,5644,20,1.2788
1,1,uml,10000,3347,7441,894.430,716.716,debug,3170,3073,5239,20,1.2480
1,4,uml,10000,3554,7889,837.947,642.022,debug,3345,3130,5466,20,1.3052
1,16,uml,10000,3554,8025,822.355,624.548,debug,3339,3102,5349,20,1.3167
1,64,uml,10000,3460,7792,796.068,601.170,debug,3258,3102,5251,20,1.3242
