ops,stable_prefix,retained_ops,response_bytes,log_bytes,snapshot_bytes,rendered_state_bytes
40,39,1,6197,5643,511,179
80,79,1,11637,11083,511,259
120,119,1,17098,16543,512,339
160,159,1,22578,22023,512,419
200,199,1,28070,27509,518,500
240,240,0,33546,33208,295,580
280,279,1,39473,38908,522,660
320,319,1,45173,44608,522,740
360,359,1,50873,50308,522,820
400,399,1,56573,56008,522,900
440,439,1,62273,61708,522,980
480,479,1,67973,67408,522,1060
520,519,1,73673,73108,522,1140
560,559,1,79373,78808,522,1220
600,599,1,85073,84508,522,1300
