replica_id,time_matrix_clock_full_ms,time_matrix_clock_incremental_ms
0,4879,421
1,4729,417
2,4630,412
3,4712,414
4,4717,414
5,4640,414
6,4631,415
7,4649,424
8,4786,411
9,4772,412
10,4616,410
11,4639,417
12,4627,410
13,4723,413
14,4717,409
15,4618,409
16,4624,411
17,4733,411
18,4634,410
19,4626,411
20,4620,410
21,4759,410
22,4625,410
23,4719,411
24,4621,411
25,4628,411
26,4713,411
27,4625,409
28,4631,411
29,4629,417
30,4734,413
31,4635,413
32,4634,411
33,4725,413
34,4629,410
35,4628,410
36,4625,409
37,4630,411
38,4620,411
39,4628,412
40,4618,410
41,4636,413
42,4628,412
43,4733,412
44,4619,411
45,4624,410
46,4743,411
47,4627,412
48,4623,410
49,4626,413
50,4624,411
51,4716,410
52,4616,411
53,4720,411
54,4626,410
55,4621,412
56,4620,409
57,4624,412
58,4625,412
59,4642,413
60,4639,411
61,4634,412
62,4732,411
63,4728,412
